gen	nevals	avg        	std        	min        	max        
0  	6000  	8.99916e+10	1.31623e+11	6.10048e+09	6.00408e+11
1  	3588  	3.08195e+10	6.12931e+10	6.19353e+09	5.68196e+11
2  	3661  	2.4902e+10 	5.88546e+10	5.55082e+09	5.67049e+11
3  	3544  	2.12403e+10	5.47551e+10	5.51005e+09	5.65919e+11
4  	3627  	2.18844e+10	5.87968e+10	5.51005e+09	5.92795e+11
5  	3568  	2.12865e+10	5.85224e+10	5.46371e+09	5.8282e+11 
6  	3593  	1.98453e+10	5.62048e+10	5.46371e+09	5.84084e+11
7  	3653  	1.83099e+10	5.20282e+10	5.37859e+09	5.64082e+11
8  	3607  	1.95014e+10	5.67388e+10	5.30366e+09	5.77452e+11
9  	3502  	1.82079e+10	5.36259e+10	5.23405e+09	5.81971e+11
10 	3606  	1.62864e+10	4.71527e+10	5.12342e+09	5.5569e+11 
11 	3621  	1.69721e+10	5.03201e+10	5.0265e+09 	5.63602e+11
12 	3650  	1.52057e+10	4.50638e+10	5.11165e+09	5.64583e+11
13 	3672  	1.5997e+10 	4.79494e+10	5.10365e+09	5.66189e+11
14 	3556  	1.41704e+10	4.35182e+10	4.88014e+09	3.82127e+11
15 	3652  	1.27025e+10	3.77659e+10	4.81303e+09	5.49333e+11
16 	3618  	1.19382e+10	3.46877e+10	4.89809e+09	3.96703e+11
17 	3557  	1.08672e+10	3.2247e+10 	4.8759e+09 	3.93193e+11
18 	3652  	1.06925e+10	3.02929e+10	4.81056e+09	3.83367e+11
19 	3578  	9.75454e+09	2.53785e+10	4.81056e+09	5.48462e+11
20 	3625  	1.01789e+10	2.81854e+10	4.81056e+09	3.72897e+11
21 	3676  	9.79749e+09	2.68468e+10	4.52182e+09	3.83933e+11
22 	3605  	9.09573e+09	2.2247e+10 	4.67902e+09	3.8008e+11 
23 	3642  	8.97817e+09	2.13067e+10	4.71116e+09	3.80357e+11
24 	3578  	8.50122e+09	1.8331e+10 	4.63566e+09	3.63348e+11
25 	3580  	8.70758e+09	1.95924e+10	4.52789e+09	3.74192e+11
26 	3523  	9.26107e+09	2.50764e+10	4.49246e+09	3.80455e+11
27 	3732  	8.96456e+09	2.34696e+10	4.41681e+09	3.79958e+11
28 	3577  	8.21381e+09	1.90278e+10	4.40114e+09	3.77689e+11
29 	3589  	7.76778e+09	1.88332e+10	4.37246e+09	3.71504e+11
30 	3642  	7.73794e+09	1.90607e+10	4.30251e+09	3.79271e+11
31 	3674  	7.58494e+09	1.79393e+10	4.15726e+09	3.78001e+11
32 	3571  	7.4385e+09 	1.68541e+10	4.10774e+09	3.65492e+11
33 	3575  	7.30974e+09	1.77781e+10	4.10903e+09	5.48445e+11
34 	3632  	6.98048e+09	1.43645e+10	4.06375e+09	3.70985e+11
