u,v,geometry
29666813,33344372,"LINESTRING (16.3712786 48.2174229, 16.3712272 48.217448, 16.3711668 48.2174714, 16.3710949 48.2174938, 16.3710226 48.2175112, 16.3709327 48.2175261, 16.3708641 48.2175336, 16.3707972 48.2175389, 16.3707271 48.2175413, 16.3706565 48.2175407, 16.3705792 48.2175368, 16.3705054 48.2175297, 16.3704557 48.2175233, 16.370384 48.2175117, 16.3702739 48.2174889, 16.370235 48.217479, 16.3701868 48.2174667, 16.3700766 48.2174332, 16.3699566 48.2173838, 16.3697267 48.2172762, 16.3688403 48.2168657)"
29666813,86674460,"LINESTRING (16.3712786 48.2174229, 16.3708817 48.2176559, 16.3705598 48.2178338, 16.3702527 48.2180065, 16.3699519 48.2181736, 16.3698182 48.218248, 16.3697947 48.2182629, 16.3697637 48.2182826)"
33344372,2191344406,"LINESTRING (16.3688403 48.2168657, 16.3683161 48.2166243)"
33344372,33344367,"LINESTRING (16.3688403 48.2168657, 16.3688799 48.2168266, 16.3689304 48.2167767, 16.3689953 48.2167127, 16.3690663 48.2166428, 16.3691358 48.2166113, 16.3693975 48.2163381, 16.3694754 48.2162485)"
86674460,60717103,"LINESTRING (16.3697637 48.2182826, 16.3697529 48.2182895, 16.3696564 48.2183508, 16.3695426 48.218423, 16.369516 48.2184402, 16.36907 48.2187279, 16.3688263 48.2189019, 16.3685929 48.2190965, 16.3684997 48.2191673, 16.3684124 48.2192358, 16.3682606 48.2193768)"
86674460,151007860,"LINESTRING (16.3697637 48.2182826, 16.3697517 48.2182742, 16.3696221 48.2181837, 16.3695953 48.2181639, 16.3695611 48.2181425, 16.3694393 48.2180663, 16.3694024 48.2180432, 16.3691111 48.2179303, 16.3679694 48.217374, 16.3678654 48.2173258, 16.3677508 48.2172728, 16.3676946 48.2172468)"
2191344406,33344371,"LINESTRING (16.3683161 48.2166243, 16.3675083 48.2162524)"
2191344406,151007860,"LINESTRING (16.3683161 48.2166243, 16.3682708 48.2166697, 16.3682237 48.2167168, 16.3681664 48.2167741, 16.3681279 48.2168126, 16.3677397 48.2172016, 16.3676946 48.2172468)"
33344367,60429937,"LINESTRING (16.3694754 48.2162485, 16.3695262 48.2161774, 16.3699543 48.2157515)"
60717103,27376565,"LINESTRING (16.3682606 48.2193768, 16.3681557 48.2194935, 16.3678694 48.2198868)"
60717103,57472304,"LINESTRING (16.3682606 48.2193768, 16.3683951 48.2194273, 16.3685461 48.2194932, 16.3686574 48.2195408, 16.3695423 48.2200256, 16.3697318 48.2201479, 16.3698049 48.2201926)"
151007860,392790,"LINESTRING (16.3676946 48.2172468, 16.3662707 48.216571, 16.3661993 48.2165371)"
33344371,25267629,"LINESTRING (16.3675083 48.2162524, 16.3669396 48.2159905, 16.3668157 48.2159336)"
60429937,1362648435,"LINESTRING (16.3699543 48.2157515, 16.3705284 48.2152138)"
60429937,33344365,"LINESTRING (16.3699543 48.2157515, 16.3686262 48.2151591)"
27376565,33344308,"LINESTRING (16.3678694 48.2198868, 16.3676576 48.2203409, 16.3675919 48.2205488, 16.3674262 48.2210151)"
27376565,2761850288,"LINESTRING (16.3678694 48.2198868, 16.3679085 48.2196821)"
57472304,57471645,"LINESTRING (16.3698049 48.2201926, 16.3698871 48.220242, 16.3700527 48.2203498, 16.3713621 48.2214162)"
57472304,190679337,"LINESTRING (16.3698049 48.2201926, 16.369868 48.2201355, 16.3700607 48.2199428, 16.3704381 48.219674, 16.3706117 48.2195511, 16.3707931 48.2194329, 16.370905 48.2193694, 16.3709391 48.21935, 16.3709689 48.2193331, 16.3710234 48.2193021)"
392790,25267629,"LINESTRING (16.3661993 48.2165371, 16.3662354 48.2165025, 16.3666171 48.2161357, 16.3666695 48.2160854, 16.3666919 48.216061, 16.366717 48.2160351, 16.3667707 48.2159799, 16.3668157 48.2159336)"
392790,718046258,"LINESTRING (16.3661993 48.2165371, 16.3661439 48.2165104, 16.3661067 48.2164934, 16.3660736 48.2164783, 16.3655953 48.2162554)"
25267629,2471327477,"LINESTRING (16.3668157 48.2159336, 16.3667006 48.215881, 16.3663971 48.2157413, 16.3655828 48.215366, 16.3655473 48.2153496, 16.3654241 48.2153003)"
25267629,1086399491,"LINESTRING (16.3668157 48.2159336, 16.366853 48.2158949, 16.3669045 48.2158414, 16.3669553 48.2157887, 16.3670095 48.2157324, 16.3671202 48.2156175, 16.3678208 48.214944)"
1362648435,60429906,"LINESTRING (16.3705284 48.2152138, 16.3712599 48.2145107)"
33344365,33344366,"LINESTRING (16.3686262 48.2151591, 16.3680889 48.2156339)"
33344365,33344364,"LINESTRING (16.3686262 48.2151591, 16.3679711 48.2148644)"
33344308,27376563,"LINESTRING (16.3674262 48.2210151, 16.367349 48.2215184, 16.3673425 48.2215607)"
2761850288,395914,"LINESTRING (16.3679085 48.2196821, 16.367781 48.2196439, 16.3659837 48.2191384)"
57471645,59985151,"LINESTRING (16.3713621 48.2214162, 16.3718891 48.2218387)"
190679337,86674460,"LINESTRING (16.3710234 48.2193021, 16.3709266 48.2192162, 16.3708046 48.2191148, 16.3706432 48.2189838, 16.3699203 48.2184013, 16.3698968 48.2183823, 16.3698009 48.2183105, 16.3697637 48.2182826)"
190679337,59983333,"LINESTRING (16.3710234 48.2193021, 16.3710916 48.2192564, 16.3714226 48.2190604, 16.3716014 48.2189545, 16.3718195 48.2188253, 16.3725173 48.2184131, 16.3727362 48.2182461)"
718046258,33344361,"LINESTRING (16.3655953 48.2162554, 16.364925 48.215941, 16.3648445 48.2159033)"
718046258,73643796,"LINESTRING (16.3655953 48.2162554, 16.3655287 48.2163209, 16.3652286 48.2166159, 16.3650202 48.2168208, 16.3649167 48.2169234)"
2471327477,25267610,"LINESTRING (16.3654241 48.2153003, 16.3653046 48.2152388, 16.3647603 48.2149934)"
2471327477,33344375,"LINESTRING (16.3654241 48.2153003, 16.365463 48.2152573, 16.3655101 48.2152051, 16.3655609 48.2151488, 16.3656121 48.2150953, 16.3657288 48.2149733, 16.3658053 48.2148989, 16.3663697 48.2143501)"
1086399491,33344364,"LINESTRING (16.3678208 48.214944, 16.3678796 48.2149065, 16.3679711 48.2148644)"
1086399491,33344375,"LINESTRING (16.3678208 48.214944, 16.3677898 48.2149133, 16.3677377 48.2148862, 16.3676818 48.2148608, 16.3672151 48.2146471, 16.3668139 48.2144634, 16.3666576 48.2144146, 16.3665387 48.2143905, 16.3664204 48.2143612, 16.3663697 48.2143501)"
60429906,151008013,"LINESTRING (16.3712599 48.2145107, 16.3711201 48.2144213, 16.3708076 48.2142263)"
33344366,33344371,"LINESTRING (16.3680889 48.2156339, 16.367769 48.215938, 16.3677366 48.2160015, 16.3676598 48.216107, 16.3676026 48.2161604, 16.3675478 48.2162139, 16.3675083 48.2162524)"
33344366,33344367,"LINESTRING (16.3680889 48.2156339, 16.3685641 48.2158356, 16.3687507 48.2159242, 16.3687969 48.2159572, 16.3693027 48.21619, 16.3694754 48.2162485)"
33344364,1831362905,"LINESTRING (16.3679711 48.2148644, 16.3683086 48.2145339)"
25267610,685093,"LINESTRING (16.3647603 48.2149934, 16.3637263 48.2145245)"
25267610,33344376,"LINESTRING (16.3647603 48.2149934, 16.3648033 48.2149539, 16.3648509 48.2149102, 16.3649157 48.2148483, 16.3653862 48.2144104, 16.3655607 48.214241, 16.3657064 48.2140979, 16.3657431 48.2140287)"
33344375,65122491,"LINESTRING (16.3663697 48.2143501, 16.3664618 48.2142839, 16.3667938 48.2139743, 16.3668802 48.2138524)"
33344375,33344376,"LINESTRING (16.3663697 48.2143501, 16.3657431 48.2140287)"
33344361,2471327477,"LINESTRING (16.3648445 48.2159033, 16.3648734 48.2158737, 16.3650772 48.2156649, 16.3652433 48.2154968, 16.3652814 48.2154579, 16.3652879 48.2154513, 16.365314 48.2154195, 16.3653845 48.2153432, 16.3654241 48.2153003)"
33344361,33344362,"LINESTRING (16.3648445 48.2159033, 16.3647518 48.2158618, 16.3647065 48.2158415, 16.3641285 48.2155825)"
73643796,27028169,"LINESTRING (16.3649167 48.2169234, 16.36483 48.2170093, 16.3643064 48.2175283)"
73643796,685151,"LINESTRING (16.3649167 48.2169234, 16.364251 48.2166144, 16.3641435 48.2165645)"
685093,33344348,"LINESTRING (16.3637263 48.2145245, 16.3636451 48.2144878, 16.3625036 48.2139711)"
685093,685152,"LINESTRING (16.3637263 48.2145245, 16.3636855 48.2145634, 16.3636384 48.2146071, 16.3635707 48.21467, 16.3633345 48.2149058, 16.3631112 48.2151288)"
33344376,60483807,"LINESTRING (16.3657431 48.2140287, 16.3662418 48.2135545)"
33344376,60483813,"LINESTRING (16.3657431 48.2140287, 16.3655434 48.2139236, 16.3650531 48.2136728)"
65122491,60432788,"LINESTRING (16.3668802 48.2138524, 16.3675209 48.2132547, 16.3675872 48.2131929)"
65122491,1831362905,"LINESTRING (16.3668802 48.2138524, 16.3670151 48.2139127, 16.3670441 48.2139311, 16.3681048 48.2144415, 16.3681527 48.214462, 16.3683086 48.2145339)"
1831362905,33344374,"LINESTRING (16.3683086 48.2145339, 16.3685376 48.2143098)"
33344348,60483922,"LINESTRING (16.3625036 48.2139711, 16.3625504 48.2139197, 16.3626602 48.2137992, 16.3627885 48.2136753, 16.3632246 48.2132545)"
33344348,199519,"LINESTRING (16.3625036 48.2139711, 16.3623711 48.2139105, 16.3620842 48.2137792, 16.3617047 48.2136058, 16.3616316 48.2135535, 16.3615987 48.2135152)"
685152,33344347,"LINESTRING (16.3631112 48.2151288, 16.3620399 48.2146359, 16.3619434 48.2146034)"
685152,33344345,"LINESTRING (16.3631112 48.2151288, 16.3630704 48.2151674, 16.3625312 48.2156774, 16.3624031 48.2157667)"
60483807,60484019,"LINESTRING (16.3662418 48.2135545, 16.3671131 48.2126676)"
60483807,65122491,"LINESTRING (16.3662418 48.2135545, 16.3668802 48.2138524)"
60483813,60483807,"LINESTRING (16.3650531 48.2136728, 16.3657922 48.2133912, 16.365851 48.2133816, 16.3659007 48.2133948, 16.3662418 48.2135545)"
60483813,25267632,"LINESTRING (16.3650531 48.2136728, 16.3648101 48.2135517, 16.3646935 48.2134998, 16.3645673 48.213456, 16.3638287 48.2130802, 16.363544 48.2129356)"
60432788,199700,"LINESTRING (16.3675872 48.2131929, 16.3676794 48.2131471, 16.3678244 48.2130751, 16.3682524 48.2129014, 16.3685262 48.2127903, 16.3686087 48.2127538)"
60432788,1362648878,"LINESTRING (16.3675872 48.2131929, 16.3676396 48.213294, 16.3676887 48.2133221, 16.3687522 48.2138083, 16.3688387 48.21385, 16.368947 48.2139077)"
33344374,1362648878,"LINESTRING (16.3685376 48.2143098, 16.368947 48.2139077)"
33344374,1362648438,"LINESTRING (16.3685376 48.2143098, 16.3691793 48.2146025)"
60483922,25267632,"LINESTRING (16.3632246 48.2132545, 16.363544 48.2129356)"
60483922,199548,"LINESTRING (16.3632246 48.2132545, 16.364315 48.2138566, 16.3643869 48.2138963)"
199519,277838181,"LINESTRING (16.3615987 48.2135152, 16.3615843 48.2134985, 16.3615541 48.2134538, 16.3615242 48.2133874, 16.3615095 48.2133384, 16.3615034 48.213318, 16.3613399 48.2127724, 16.3612537 48.2124798)"
33344347,33344348,"LINESTRING (16.3619434 48.2146034, 16.3620326 48.21452, 16.362108 48.214443, 16.3623223 48.2142256, 16.3623969 48.2141529, 16.3624582 48.2140485, 16.3624648 48.2140372, 16.3625036 48.2139711)"
33344347,83572328,"LINESTRING (16.3619434 48.2146034, 16.3617421 48.214519, 16.3616317 48.2144741, 16.3615898 48.2144553, 16.3615758 48.2144488, 16.3614426 48.2143872, 16.3613211 48.2143347, 16.3609532 48.2141331, 16.3608509 48.2141088, 16.3607549 48.2140946, 16.3606432 48.2140886, 16.3605308 48.214098, 16.3602964 48.2141282, 16.3599739 48.2141732)"
33344345,685150,"LINESTRING (16.3624031 48.2157667, 16.3617869 48.2154843, 16.361356 48.2152868, 16.3612652 48.2152452)"
33344345,33344346,"LINESTRING (16.3624031 48.2157667, 16.3622921 48.2158445, 16.3617447 48.216357)"
60484019,60432788,"LINESTRING (16.3671131 48.2126676, 16.3674582 48.2130311, 16.367559 48.2131289, 16.3675872 48.2131929)"
25267632,25267633,"LINESTRING (16.363544 48.2129356, 16.363576 48.2128722, 16.3639914 48.2123037, 16.3641616 48.2120537)"
199700,60431852,"LINESTRING (16.3686087 48.2127538, 16.3685296 48.2126877, 16.3684937 48.2126577, 16.3680792 48.2123576, 16.3676212 48.2120398, 16.3671744 48.2117373, 16.3664086 48.2113136, 16.3663435 48.2112651)"
199700,60432743,"LINESTRING (16.3686087 48.2127538, 16.3686938 48.2127162, 16.3689683 48.2125971, 16.3692244 48.2124861)"
1362648878,60484032,"LINESTRING (16.368947 48.2139077, 16.3692515 48.2136199, 16.3693438 48.2135326, 16.3693788 48.2135003, 16.3693972 48.2134809, 16.3694074 48.213464, 16.3694113 48.2134475, 16.3694122 48.2134341)"
