u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bearing,ref,layer_height,edge_interior_angle,stroke_group
378728,1629378075,0,"[337654522, 385800228]","['3', '4']",Währinger Gürtel,primary,50,True,102.08399999999999,"LINESTRING (16.34944 48.2236212, 16.349484 48.2237917, 16.349609 48.2242524, 16.3496426 48.2243837, 16.3496508 48.2244189, 16.3496756 48.2245257)",9.8,B221,height 2,"{(655018, 1629378075, 0): 82.706, (33345332, 378728, 0): 154.034, (1629378075, 213287623, 0): 179.92200000000003}",0
392224,33144947,0,24939638,,Leopold-Ernst-Gasse,residential,30,True,93.458,"LINESTRING (16.3333166 48.2221545, 16.3343852 48.2217078)",122.1,,height 1,"{(392224, 393924, 0): 80.916, (33144459, 33144947, 0): 111.642, (33144644, 392224, 0): 99.131, (33144947, 320192043, 0): 178.917, (33144947, 33144640, 0): 68.845, (162796578, 392224, 0): 178.746}",1
392224,393924,0,5010790,,Weidmanngasse,residential,30,True,104.57199999999999,"LINESTRING (16.3333166 48.2221545, 16.3333519 48.2222115, 16.3340208 48.2229689)",29.9,,height 2,"{(392224, 33144947, 0): 80.916, (393924, 33144487, 0): 179.675, (393924, 292365649, 0): 74.557, (33144459, 393924, 0): 105.419, (33144644, 392224, 0): 179.953, (162796578, 392224, 0): 97.83}",2
392442,655018,0,"[687707600, 5010794]",2,Schulgasse,secondary,"['50', '30']",True,74.995,"LINESTRING (16.3479451 48.224684, 16.348777 48.2246222, 16.3488214 48.2246194, 16.3489507 48.2246067)",96.6,,height 1,"{(394751, 392442, 0): 83.054, (655018, 33344802, 0): 83.072, (655018, 1629378075, 0): 179.94400000000002, (33344253, 392442, 0): 179.54999999999998, (1371563077, 655018, 0): 97.023}",3
393375,64975949,0,24939395,1,Währinger Straße,secondary,30,True,30.906,"LINESTRING (16.3346608 48.2283981, 16.3349162 48.2283544, 16.3350633 48.2283251)",105.2,,height 1,"{(29048460, 393375, 0): 176.60399999999998, (64975949, 33345310, 0): 87.79, (64975949, 5322689627, 0): 179.98999999999998}",0
393924,33144487,0,5010790,,Weidmanngasse,residential,30,True,107.917,"LINESTRING (16.3340208 48.2229689, 16.3347658 48.2238029)",30.8,,height 2,"{(392224, 393924, 0): 179.675, (393924, 292365649, 0): 105.768, (33144459, 393924, 0): 74.256, (33144487, 33144484, 0): 105.612, (33144487, 33144069, 0): 179.513, (33144491, 33144487, 0): 74.414}",2
393924,292365649,0,27541033,,Schumanngasse,residential,30,True,85.69500000000001,"LINESTRING (16.3340208 48.2229689, 16.3331023 48.223417, 16.3330875 48.2234242)",306.2,,height 1,"{(392224, 393924, 0): 74.557, (393924, 33144487, 0): 105.768, (33144459, 393924, 0): 179.976, (292365649, 33144491, 0): 74.545, (292365649, 33144463, 0): 179.82, (292365649, 162796578, 0): 105.483}",4
394751,392442,0,23713388,1,Semperstraße,secondary,30,True,71.074,"LINESTRING (16.3480705 48.2253177, 16.3480679 48.2253044, 16.3480548 48.2252383, 16.3479451 48.224684)",187.5,,height 2,"{(392442, 655018, 0): 83.054, (33344253, 392442, 0): 96.496, (251207329, 394751, 0): 88.365, (1371563074, 394751, 0): 91.578}",5
394989,33345287,0,655549764,,Vinzenzgasse,residential,30,True,73.52499999999999,"LINESTRING (16.335796 48.226846, 16.3357657 48.2267928, 16.3354438 48.2262278)",200.8,,height 2,"{(33345285, 394989, 0): 97.376, (33345287, 33345286, 0): 177.817, (33345289, 394989, 0): 178.91699999999997, (33345298, 33345287, 0): 84.31700000000001, (33345311, 394989, 0): 82.646}",6
655012,33144500,0,5010781,,Hofmanngasse,residential,30,True,96.156,"LINESTRING (16.3449313 48.2223384, 16.3444459 48.2231404)",338.0,,height 2,"{(655012, 283324403, 0): 73.096, (33144500, 33344806, 0): 73.227, (33144500, 33144497, 0): 106.416, (33344801, 655012, 0): 106.325}",7
