osmid,y,x,street_count,highway,geometry
378727,48.2250679,16.3498014,4,,POINT (16.3498014 48.2250679)
378728,48.2236212,16.34944,3,,POINT (16.34944 48.2236212)
392224,48.2221545,16.3333166,4,,POINT (16.3333166 48.2221545)
392301,48.2222852,16.3416439,4,traffic_signals,POINT (16.3416439 48.2222852)
392442,48.224684,16.3479451,4,,POINT (16.3479451 48.224684)
393375,48.2283981,16.3346608,3,,POINT (16.3346608 48.2283981)
393924,48.2229689,16.3340208,4,,POINT (16.3340208 48.2229689)
394751,48.2253177,16.3480705,4,,POINT (16.3480705 48.2253177)
394989,48.226846,16.335796,4,,POINT (16.335796 48.226846)
401838,48.2251301,16.3420541,4,traffic_signals,POINT (16.3420541 48.2251301)
655012,48.2223384,16.3449313,3,,POINT (16.3449313 48.2223384)
655018,48.2246067,16.3489507,4,,POINT (16.3489507 48.2246067)
25280482,48.2231372,16.3386125,4,,POINT (16.3386125 48.2231372)
26405248,48.2233015,16.3309683,4,,POINT (16.3309683 48.2233015)
29048460,48.2284539,16.3341565,3,,POINT (16.3341565 48.2284539)
29048465,48.2210156,16.3431569,3,,POINT (16.3431569 48.2210156)
29048466,48.2211786,16.3420779,4,,POINT (16.3420779 48.2211786)
29048468,48.2239659,16.3365505,4,,POINT (16.3365505 48.2239659)
29048469,48.2254334,16.3335652,4,,POINT (16.3335652 48.2254334)
29048470,48.2258864,16.3326189,4,,POINT (16.3326189 48.2258864)
29048472,48.2264173,16.3308107,4,traffic_signals,POINT (16.3308107 48.2264173)
33143821,48.2214393,16.3371841,4,,POINT (16.3371841 48.2214393)
33143825,48.2222744,16.337882,4,,POINT (16.337882 48.2222744)
33143829,48.2231494,16.3417921,4,,POINT (16.3417921 48.2231494)
33143834,48.2241049,16.3419122,4,,POINT (16.3419122 48.2241049)
33143888,48.2202363,16.3415148,4,,POINT (16.3415148 48.2202363)
33143898,48.2187018,16.3409226,4,,POINT (16.3409226 48.2187018)
33143995,48.2236027,16.3374361,4,,POINT (16.3374361 48.2236027)
33144069,48.2245295,16.3354038,4,,POINT (16.3354038 48.2245295)
33144366,48.2200116,16.3427415,3,,POINT (16.3427415 48.2200116)
33144414,48.2183536,16.3429038,4,,POINT (16.3429038 48.2183536)
33144422,48.2209162,16.3390404,4,,POINT (16.3390404 48.2209162)
33144424,48.2205487,16.340405,4,,POINT (16.340405 48.2205487)
33144427,48.2219915,16.3360195,4,,POINT (16.3360195 48.2219915)
33144459,48.2224411,16.3351015,4,,POINT (16.3351015 48.2224411)
33144463,48.2241773,16.331527,4,,POINT (16.331527 48.2241773)
33144467,48.2213039,16.3409478,4,,POINT (16.3409478 48.2213039)
33144471,48.2216922,16.3395494,3,,POINT (16.3395494 48.2216922)
33144475,48.2217434,16.3393645,3,,POINT (16.3393645 48.2217434)
33144484,48.2232586,16.3358738,4,,POINT (16.3358738 48.2232586)
33144487,48.2238029,16.3347658,4,,POINT (16.3347658 48.2238029)
33144491,48.224264,16.3338278,4,,POINT (16.3338278 48.224264)
33144494,48.2230866,16.3429429,4,,POINT (16.3429429 48.2230866)
33144497,48.2230317,16.343871,4,,POINT (16.343871 48.2230317)
33144500,48.2231404,16.3444459,3,,POINT (16.3444459 48.2231404)
33144503,48.2239979,16.3432442,4,,POINT (16.3432442 48.2239979)
33144550,48.2239237,16.344174,4,,POINT (16.344174 48.2239237)
33144555,48.2244141,16.3399554,4,,POINT (16.3399554 48.2244141)
33144560,48.2234056,16.3404827,3,,POINT (16.3404827 48.2234056)
33144566,48.223573,16.3397192,3,,POINT (16.3397192 48.223573)
33144572,48.2237309,16.3390945,3,,POINT (16.3390945 48.2237309)
33144577,48.224254,16.3380685,4,,POINT (16.3380685 48.224254)
33144583,48.2189455,16.3397278,4,,POINT (16.3397278 48.2189455)
33144588,48.2193773,16.3380305,4,,POINT (16.3380305 48.2193773)
33144591,48.2203904,16.3331256,4,,POINT (16.3331256 48.2203904)
33144596,48.2206023,16.3323449,4,,POINT (16.3323449 48.2206023)
33144601,48.2208402,16.3314843,4,,POINT (16.3314843 48.2208402)
33144605,48.2211138,16.3306752,4,,POINT (16.3306752 48.2211138)
33144611,48.2214303,16.3297548,4,,POINT (16.3297548 48.2214303)
33144616,48.221698,16.328936,4,,POINT (16.328936 48.221698)
33144621,48.2220036,16.3280054,3,,POINT (16.3280054 48.2220036)
33144626,48.2199151,16.3384073,4,,POINT (16.3384073 48.2199151)
33144629,48.2195895,16.3399699,3,,POINT (16.3399699 48.2195895)
33144633,48.2206395,16.3349181,3,,POINT (16.3349181 48.2206395)
33144637,48.2207966,16.3341114,3,,POINT (16.3341114 48.2207966)
33144640,48.2208909,16.3336007,4,,POINT (16.3336007 48.2208909)
33144644,48.2211676,16.3327043,4,,POINT (16.3327043 48.2211676)
33144648,48.2214613,16.3317914,4,,POINT (16.3317914 48.2214613)
33144652,48.2217242,16.3310124,4,,POINT (16.3310124 48.2217242)
