osmid,y,x,street_count,geometry
199732,48.2086619,16.3601365,3,POINT (16.3601365 48.2086619)
259192914,48.2089775,16.3578084,4,POINT (16.3578084 48.2089775)
17322939,48.2096573,16.3604255,3,POINT (16.3604255 48.2096573)
199735,48.2068359,16.3558556,4,POINT (16.3558556 48.2068359)
33183693,48.2071451,16.3572178,4,POINT (16.3572178 48.2071451)
33183691,48.2069604,16.3557376,4,POINT (16.3557376 48.2069604)
199736,48.2076973,16.3553748,3,POINT (16.3553748 48.2076973)
33183678,48.2075711,16.3563771,3,POINT (16.3563771 48.2075711)
33183671,48.209235,16.355225,5,POINT (16.355225 48.209235)
199740,48.214422,16.3582651,4,POINT (16.3582651 48.214422)
33344356,48.2154077,16.3577004,3,POINT (16.3577004 48.2154077)
33344349,48.2155072,16.3566639,4,POINT (16.3566639 48.2155072)
199744,48.2135166,16.3571308,4,POINT (16.3571308 48.2135166)
33183670,48.2126817,16.3568763,4,POINT (16.3568763 48.2126817)
199759,48.2136341,16.3562095,3,POINT (16.3562095 48.2136341)
199745,48.2133903,16.358084,4,POINT (16.358084 48.2133903)
291325801,48.2142079,16.3583227,5,POINT (16.3583227 48.2142079)
199747,48.2124349,16.3588007,4,POINT (16.3588007 48.2124349)
199748,48.2125633,16.3578329,4,POINT (16.3578329 48.2125633)
199753,48.2116546,16.3575637,3,POINT (16.3575637 48.2116546)
199750,48.212794,16.3560356,3,POINT (16.3560356 48.212794)
199751,48.2118784,16.3558256,4,POINT (16.3558256 48.2118784)
242132118,48.2118987,16.3556692,3,POINT (16.3556692 48.2118987)
199752,48.2117779,16.3566008,3,POINT (16.3566008 48.2117779)
199758,48.2102275,16.3554663,3,POINT (16.3554663 48.2102275)
33183684,48.2101396,16.3561406,3,POINT (16.3561406 48.2101396)
199762,48.20937,16.3521931,4,POINT (16.3521931 48.20937)
31259175,48.2092704,16.3538327,3,POINT (16.3538327 48.2092704)
31259136,48.2094582,16.3505677,4,POINT (16.3505677 48.2094582)
670006,48.2082747,16.3525266,4,POINT (16.3525266 48.2082747)
377970,48.1981355,16.3023982,4,POINT (16.3023982 48.1981355)
1986055,48.1984292,16.3042927,3,POINT (16.3042927 48.1984292)
1986058,48.1972657,16.3020645,4,POINT (16.3020645 48.1972657)
377988,48.1990315,16.3133654,3,POINT (16.3133654 48.1990315)
7456953,48.1990416,16.3143706,3,POINT (16.3143706 48.1990416)
30486729,48.1990321,16.3132143,3,POINT (16.3132143 48.1990321)
7456968,48.1980679,16.3132153,4,POINT (16.3132153 48.1980679)
377990,48.1986426,16.3247453,3,POINT (16.3247453 48.1986426)
671910,48.1975112,16.3254304,3,POINT (16.3254304 48.1975112)
16055007,48.1988549,16.325705,4,POINT (16.325705 48.1988549)
16055005,48.1986913,16.3239054,4,POINT (16.3239054 48.1986913)
377992,48.2015417,16.3370453,4,POINT (16.3370453 48.2015417)
2510760710,48.2016301,16.3378243,4,POINT (16.3378243 48.2016301)
378458,48.2007916,16.3373108,4,POINT (16.3373108 48.2007916)
33240888,48.2014329,16.3360316,4,POINT (16.3360316 48.2014329)
378033,48.1860446,16.320393,4,POINT (16.320393 48.1860446)
39693287,48.1861106,16.3201746,4,POINT (16.3201746 48.1861106)
297177795,48.1862601,16.3204124,3,POINT (16.3204124 48.1862601)
378034,48.1848954,16.3198001,4,POINT (16.3198001 48.1848954)
34770139,48.1838377,16.3236244,4,POINT (16.3236244 48.1838377)
251064643,48.1854704,16.3200995,3,POINT (16.3200995 48.1854704)
378036,48.1880344,16.3134706,4,POINT (16.3134706 48.1880344)
33236715,48.1880431,16.3085061,3,POINT (16.3085061 48.1880431)
378441,48.2018467,16.3405052,4,POINT (16.3405052 48.2018467)
31256355,48.2017258,16.3388191,4,POINT (16.3388191 48.2017258)
24967075,48.2018241,16.3432101,4,POINT (16.3432101 48.2018241)
2262947088,48.2003651,16.3407879,4,POINT (16.3407879 48.2003651)
2262947059,48.2028008,16.3403178,4,POINT (16.3403178 48.2028008)
378443,48.2021452,16.3490726,3,POINT (16.3490726 48.2021452)
24967092,48.2017711,16.349043,3,POINT (16.349043 48.2017711)
378461,48.2022078,16.35025,3,POINT (16.35025 48.2022078)
378450,48.2023981,16.354632,3,POINT (16.354632 48.2023981)
29750004,48.2015125,16.355168,3,POINT (16.355168 48.2015125)
33183721,48.2027091,16.3562351,3,POINT (16.3562351 48.2027091)
316634842,48.2009076,16.338058,3,POINT (16.338058 48.2009076)
93279637,48.1995243,16.3377917,3,POINT (16.3377917 48.1995243)
33240899,48.2005571,16.3364077,4,POINT (16.3364077 48.2005571)
378459,48.1983967,16.3390104,4,POINT (16.3390104 48.1983967)
378462,48.1982148,16.3382648,5,POINT (16.3382648 48.1982148)
31256348,48.2001368,16.3383508,3,POINT (16.3383508 48.2001368)
378460,48.2001259,16.350701,4,POINT (16.350701 48.2001259)
291209290,48.1999374,16.3496561,1,POINT (16.3496561 48.1999374)
8993879825,48.2006453,16.35237,1,POINT (16.35237 48.2006453)
24967105,48.2009581,16.3505009,4,POINT (16.3505009 48.2009581)
31257329,48.1993624,16.3510352,1,POINT (16.3510352 48.1993624)
24967135,48.2022384,16.3508101,3,POINT (16.3508101 48.2022384)
33240913,48.1980178,16.3373706,3,POINT (16.3373706 48.1980178)
451666739,48.1977794,16.3382852,3,POINT (16.3382852 48.1977794)
378464,48.1957221,16.3390429,4,POINT (16.3390429 48.1957221)
83517944,48.1955741,16.3390798,4,POINT (16.3390798 48.1955741)
277973489,48.1951263,16.3374385,4,POINT (16.3374385 48.1951263)
378465,48.1982805,16.3282293,4,POINT (16.3282293 48.1982805)
395153,48.1970781,16.3289893,4,POINT (16.3289893 48.1970781)
33208009,48.1985451,16.3291533,3,POINT (16.3291533 48.1985451)
398017,48.1993622,16.3275496,4,POINT (16.3275496 48.1993622)
25268047,48.1980248,16.3272921,3,POINT (16.3272921 48.1980248)
378466,48.2042243,16.337525,4,POINT (16.337525 48.2042243)
378469,48.2061526,16.3373996,4,POINT (16.3373996 48.2061526)
31256357,48.2042595,16.3385008,4,POINT (16.3385008 48.2042595)
378467,48.2041797,16.3367537,4,POINT (16.3367537 48.2041797)
33240881,48.2026462,16.3369086,3,POINT (16.3369086 48.2026462)
378468,48.2061872,16.3365797,4,POINT (16.3365797 48.2061872)
